"Card Name","Card Description","Labels","Members","Due Date","List Name"
"📝 NEW #18: desain rumah minimalis elegan","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 500

📌 INFORMASI DASAR
Keyword Utama     : desain rumah minimalis elegan
Search Volume     : 6600/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/desain-rumah-minimalis-elegan
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Inspirational
Fokus: visual, gallery, inspirasi

🔑 KEYWORD STRATEGY
PRIMARY: ""desain rumah minimalis elegan""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""desain rumah minimalis elegan""
SEARCH VOLUME: 6600/bulan
URL TARGET: https://www.sesoris.com/blog/desain-rumah-minimalis-elegan

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-03-31","Inbox"
"📝 NEW #19: taman depan rumah minimalis lahan sempit","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 500

📌 INFORMASI DASAR
Keyword Utama     : taman depan rumah minimalis lahan sempit
Search Volume     : 5400/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/taman-depan-rumah-minimalis-lahan-sempit
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""taman depan rumah minimalis lahan sempit""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""taman depan rumah minimalis lahan sempit""
SEARCH VOLUME: 5400/bulan
URL TARGET: https://www.sesoris.com/blog/taman-depan-rumah-minimalis-lahan-sempit

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-01","Inbox"
"📝 NEW #20: denah rumah minimalis","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 488

📌 INFORMASI DASAR
Keyword Utama     : denah rumah minimalis
Search Volume     : 9900/bulan
Keyword Difficulty: 4/100
URL Target        : https://www.sesoris.com/blog/denah-rumah-minimalis
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""denah rumah minimalis""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""denah rumah minimalis""
SEARCH VOLUME: 9900/bulan
URL TARGET: https://www.sesoris.com/blog/denah-rumah-minimalis

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-02","Inbox"
"📝 NEW #21: rumah minimalis","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 485

📌 INFORMASI DASAR
Keyword Utama     : rumah minimalis
Search Volume     : 90500/bulan
Keyword Difficulty: 5/100
URL Target        : https://www.sesoris.com/blog/rumah-minimalis
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rumah minimalis""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rumah minimalis""
SEARCH VOLUME: 90500/bulan
URL TARGET: https://www.sesoris.com/blog/rumah-minimalis

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-04","Inbox"
"📝 NEW #22: rumah minimalis sederhana","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 485

📌 INFORMASI DASAR
Keyword Utama     : rumah minimalis sederhana
Search Volume     : 33100/bulan
Keyword Difficulty: 5/100
URL Target        : https://www.sesoris.com/blog/rumah-minimalis-sederhana
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rumah minimalis sederhana""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rumah minimalis sederhana""
SEARCH VOLUME: 33100/bulan
URL TARGET: https://www.sesoris.com/blog/rumah-minimalis-sederhana

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-06","Inbox"
"📝 NEW #23: kitchen set minimalis dapur kecil","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 440

📌 INFORMASI DASAR
Keyword Utama     : kitchen set minimalis dapur kecil
Search Volume     : 4400/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/kitchen-set-minimalis-dapur-kecil
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""kitchen set minimalis dapur kecil""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""kitchen set minimalis dapur kecil""
SEARCH VOLUME: 4400/bulan
URL TARGET: https://www.sesoris.com/blog/kitchen-set-minimalis-dapur-kecil

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-07","Inbox"
"📝 NEW #24: model kitchen set minimalis","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 290

📌 INFORMASI DASAR
Keyword Utama     : model kitchen set minimalis
Search Volume     : 2900/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/model-kitchen-set-minimalis
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Inspirational
Fokus: visual, gallery, inspirasi

🔑 KEYWORD STRATEGY
PRIMARY: ""model kitchen set minimalis""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""model kitchen set minimalis""
SEARCH VOLUME: 2900/bulan
URL TARGET: https://www.sesoris.com/blog/model-kitchen-set-minimalis

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-08","Inbox"
"📝 NEW #25: rak dapur","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 290

📌 INFORMASI DASAR
Keyword Utama     : rak dapur
Search Volume     : 2900/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/rak-dapur
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rak dapur""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rak dapur""
SEARCH VOLUME: 2900/bulan
URL TARGET: https://www.sesoris.com/blog/rak-dapur

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-09","Inbox"
"📝 NEW #26: wadah makanan","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 240

📌 INFORMASI DASAR
Keyword Utama     : wadah makanan
Search Volume     : 2400/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/wadah-makanan
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""wadah makanan""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""wadah makanan""
SEARCH VOLUME: 2400/bulan
URL TARGET: https://www.sesoris.com/blog/wadah-makanan

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-10","Inbox"
"📝 NEW #27: kitchen set modern minimalis","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 160

📌 INFORMASI DASAR
Keyword Utama     : kitchen set modern minimalis
Search Volume     : 1600/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/kitchen-set-modern-minimalis
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""kitchen set modern minimalis""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""kitchen set modern minimalis""
SEARCH VOLUME: 1600/bulan
URL TARGET: https://www.sesoris.com/blog/kitchen-set-modern-minimalis

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-11","Inbox"
"📝 NEW #28: wadah makanan plastik","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 160

📌 INFORMASI DASAR
Keyword Utama     : wadah makanan plastik
Search Volume     : 1600/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/wadah-makanan-plastik
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""wadah makanan plastik""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""wadah makanan plastik""
SEARCH VOLUME: 1600/bulan
URL TARGET: https://www.sesoris.com/blog/wadah-makanan-plastik

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-13","Inbox"
"📝 NEW #29: rak dapur minimalis","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 160

📌 INFORMASI DASAR
Keyword Utama     : rak dapur minimalis
Search Volume     : 1600/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/rak-dapur-minimalis
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Informational
Fokus: konten informatif, comprehensive

🔑 KEYWORD STRATEGY
PRIMARY: ""rak dapur minimalis""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""rak dapur minimalis""
SEARCH VOLUME: 1600/bulan
URL TARGET: https://www.sesoris.com/blog/rak-dapur-minimalis

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-14","Inbox"
"📝 NEW #30: model kitchen set minimalis terbaru","⏱️ DURASI: 1.5-2 jam
📊 PRIORITY: MEDIUM
📈 SCORE: 130

📌 INFORMASI DASAR
Keyword Utama     : model kitchen set minimalis terbaru
Search Volume     : 1300/bulan
Keyword Difficulty: 0/100
URL Target        : https://www.sesoris.com/blog/model-kitchen-set-minimalis-terbaru
Data Source        : DataForSEO API (Maret 2026)

🎯 SEARCH INTENT: Inspirational
Fokus: visual, gallery, inspirasi

🔑 KEYWORD STRATEGY
PRIMARY: ""model kitchen set minimalis terbaru""

📝 AI PROMPT - COPY KE CLAUDE/GEMINI:

```
Kamu adalah Senior SEO Content Writer dengan pengalaman 15+ tahun. Buatkan artikel SEO-optimized:

KEYWORD UTAMA: ""model kitchen set minimalis terbaru""
SEARCH VOLUME: 1300/bulan
URL TARGET: https://www.sesoris.com/blog/model-kitchen-set-minimalis-terbaru

TENTANG CLIENT:
• Nama: Sesoris
• Tagline: ""Hidup Lebih Teratur""
• Bisnis: E-commerce Home Organization & Lifestyle Products
• Produk: Organizer, Kitchen Storage, Bags, Tools, Office, Outdoor
• Website: https://www.sesoris.com

INSTRUKSI:
1. Riset TOP 3 kompetitor di Google untuk keyword ini
2. Word count: 1.800-2.500 kata
3. Struktur: H1, multiple H2/H3, FAQ minimal 5
4. Keyword di: Title, Meta, H1, 100 kata pertama, H2, kesimpulan
5. Internal link ke https://www.sesoris.com minimal 5
6. CTA ke Sesoris di kesimpulan
7. Bahasa Indonesia, tone: informatif & friendly
8. Sisipkan rekomendasi produk Sesoris yang relevan

OUTPUT:
1. Meta Title (50-60 char, keyword included)
2. Meta Description (150-160 char, dengan CTA)
3. Artikel lengkap dengan struktur heading
4. FAQ 5+ pertanyaan
5. Alt text untuk featured image
```

✅ CHECKLIST SEBELUM PUBLISH
☐ Keyword di title, meta, H1, 100 kata pertama
☐ Word count minimal 1.800 kata
☐ Internal link minimal 5
☐ FAQ minimal 5
☐ CTA ke Sesoris di kesimpulan
☐ Featured image dengan alt text
☐ Publish di website
☐ Submit URL ke GSC
","Content","","2026-04-15","Inbox"
